,選手名,球団,一軍,防御率,勝,負,S,奪三振,試合数,投球回,奪三振率,投球数,打者数,被安打,被本塁打,与四球,与死球,敬遠,失点,自責点,完投,完封,無四球,被打率,QS率,援護点,援護率,WHIP,UP打数,UP被安打,UP被打率,UP被本塁打,最高球速,最低球速,球速差,year,get_out
0,野間口貴彦,巨,,0.00,0,0,0,2,3,3,6.00,44,11,2,0,1,0,0,0,0,0,0,0,.200,0.00%,0,0.00,1.00,0,0,.000,0,143,115,28,2012,9.0
1,ロメロ,巨,,0.00,0,0,0,1,1,1,9.00,15,5,0,0,1,0,0,1,0,0,0,0,.000,0.00%,0,0.00,1.00,0,0,.000,0,148,117,31,2012,3.0
2,高木京介,巨,○,0.57,2,0,1,28,34,311/3,8.04,472,121,16,0,10,1,0,2,2,0,0,0,.150,0.00%,0,0.00,0.83,34,4,.118,0,149,97,52,2012,94.0
3,山口鉄也,巨,○,0.84,3,2,5,68,72,751/3,8.12,1075,277,47,1,7,3,2,7,7,0,0,0,.179,0.00%,0,0.00,0.69,163,26,.160,0,151,115,36,2012,226.0
4,西村健太朗,巨,○,1.14,3,2,32,58,69,711/3,7.32,1097,276,41,3,22,2,5,15,9,0,0,0,.168,0.00%,0,0.00,0.81,119,20,.168,2,153,111,42,2012,214.0
5,高木康成,巨,○,1.44,3,1,0,25,40,432/3,5.15,636,169,34,0,8,0,1,9,7,0,0,0,.217,0.00%,0,0.00,0.94,36,11,.306,0,147,109,38,2012,131.0
6,福田聡志,巨,○,1.61,8,1,0,51,50,612/3,7.44,970,236,32,2,26,0,0,11,11,0,0,0,.155,0.00%,0,0.00,0.94,57,9,.158,0,152,109,43,2012,185.0
7,マシソン,巨,○,1.71,2,0,10,48,40,42,10.29,704,165,30,1,11,1,0,9,8,0,0,0,.200,0.00%,0,0.00,0.98,55,11,.200,1,159,101,58,2012,126.0
8,宮國椋丞,巨,,1.86,6,2,0,54,17,97,5.01,1413,386,76,4,28,3,1,27,20,1,1,0,.221,56.25%,53,4.68,1.06,199,45,.226,2,149,85,64,2012,291.0
9,小山雄輝,巨,,1.87,2,2,0,28,10,431/3,5.82,589,168,29,1,11,0,0,11,9,0,0,0,.191,50.00%,10,2.50,0.92,91,16,.176,0,150,100,50,2012,130.0
10,内海哲也,巨,○,1.98,15,6,0,121,28,186,5.85,2799,757,173,8,40,9,1,47,41,3,2,0,.253,78.57%,86,3.95,1.14,390,92,.236,3,146,83,63,2012,558.0
11,杉内俊哉,巨,,2.04,12,4,0,172,24,163,9.50,2491,634,116,6,43,3,0,42,37,3,2,1,.202,83.33%,64,3.39,0.98,323,69,.214,4,144,95,49,2012,489.0
12,ホールトン,巨,○,2.45,12,8,0,132,25,158,7.52,2611,630,116,11,44,8,1,46,43,0,0,0,.206,72.00%,91,4.87,1.01,268,51,.190,8,148,101,47,2012,474.0
13,江柄子裕樹,巨,,2.45,0,2,0,14,7,142/3,8.59,263,65,12,2,7,1,0,7,4,0,0,0,.218,0.00%,1,0.75,1.30,29,9,.310,1,146,105,41,2012,44.0
14,澤村拓一,巨,,2.86,10,10,0,138,27,1692/3,7.32,2786,716,172,12,54,4,0,56,54,2,1,0,.267,65.38%,70,3.60,1.33,332,80,.241,3,154,102,52,2012,509.0
15,ゴンザレス,巨,○,3.20,4,1,0,26,11,45,5.20,755,206,57,2,22,2,0,18,16,0,0,0,.326,20.00%,20,3.67,1.76,103,36,.350,0,145,113,32,2012,135.0
16,田原誠次,巨,,3.26,2,0,0,23,32,301/3,6.82,475,130,30,3,8,4,0,11,11,0,0,0,.265,0.00%,3,13.50,1.25,33,10,.303,0,149,96,53,2012,91.0
17,星野真澄,巨,,3.48,1,0,0,7,6,101/3,6.10,160,41,9,1,1,1,0,4,4,0,0,0,.243,0.00%,0,0.00,0.97,9,0,.000,0,145,119,26,2012,31.0
18,東野峻,巨,,3.60,0,0,0,2,1,5,3.60,68,18,3,1,0,1,0,2,2,0,0,0,.176,0.00%,2,3.60,0.60,7,2,.286,1,143,105,38,2012,15.0
19,一岡竜司,巨,,3.60,0,0,0,3,4,5,5.40,68,21,5,0,0,1,0,3,2,0,0,0,.278,0.00%,0,0.00,1.00,0,0,.000,0,149,103,46,2012,15.0
20,笠原将生,巨,,5.54,1,0,0,14,4,13,9.69,248,64,18,1,5,1,0,8,8,0,0,0,.316,33.33%,13,9.00,1.77,30,7,.233,1,148,110,38,2012,39.0
21,小野淳平,巨,,5.73,0,1,0,5,9,11,4.09,196,48,10,3,3,2,0,7,7,0,0,0,.238,0.00%,4,9.00,1.18,12,5,.417,2,148,106,42,2012,33.0
22,久保裕也,巨,,9.00,0,0,0,1,2,1,9.00,38,8,2,0,2,1,0,3,1,0,0,0,.400,0.00%,0,0.00,4.00,1,0,.000,0,139,108,31,2012,3.0
23,越智大祐,巨,,11.25,0,1,0,0,5,4,0.00,66,24,9,2,4,0,1,5,5,0,0,0,.450,0.00%,0,0.00,3.00,2,2,1.000,0,144,116,28,2012,12.0
24,真田裕貴,巨,,99.99,0,0,0,0,1,0,0.00,12,4,4,0,0,0,0,3,3,0,0,0,1.000,0.00%,0,0.00,0.00,0,0,.000,0,139,127,12,2012,0.0
25,公文克彦,巨,,0.00,0,0,0,4,3,3,12.00,58,13,4,0,1,0,0,0,0,0,0,0,.333,0.00%,0,0.00,1.67,0,0,.000,0,147,125,22,2013,9.0
26,高木康成,巨,,0.00,0,0,0,1,1,2,4.50,22,7,2,0,0,0,0,0,0,0,0,0,.286,0.00%,0,0.00,1.00,0,0,.000,0,144,120,24,2013,6.0
27,マシソン,巨,○,1.03,2,2,0,77,63,61,11.36,1009,235,36,2,18,2,0,8,7,0,0,0,.169,0.00%,0,0.00,0.89,97,15,.155,1,160,118,42,2013,183.0
28,西村健太朗,巨,○,1.13,4,3,42,71,71,712/3,8.92,1200,289,47,1,31,4,1,10,9,0,0,0,.187,0.00%,0,0.00,1.07,155,33,.213,1,152,123,29,2013,215.0
29,山口鉄也,巨,○,1.22,4,3,6,55,64,662/3,7.43,1017,262,47,1,17,2,2,12,9,0,0,0,.198,0.00%,0,0.00,0.93,135,25,.185,0,150,116,34,2013,200.0
30,今村信貴,巨,,2.12,1,1,0,14,3,17,7.41,253,69,18,2,4,0,0,4,4,0,0,0,.281,66.67%,5,2.50,1.29,43,12,.279,1,146,81,65,2013,51.0
31,阿南徹,巨,,2.57,1,0,0,3,2,7,3.86,106,27,6,0,1,0,0,2,2,0,0,0,.250,0.00%,1,1.50,1.00,17,4,.235,0,145,108,37,2013,21.0
32,青木高広,巨,○,2.87,5,1,0,19,34,311/3,5.46,453,120,19,1,7,2,1,10,10,0,0,0,.178,0.00%,0,0.00,0.80,14,3,.214,0,137,100,37,2013,94.0
33,菅野智之,巨,○,3.12,13,6,0,155,27,176,7.93,2832,729,166,10,37,5,0,70,61,1,0,0,.249,69.23%,80,3.96,1.15,287,68,.237,3,152,108,44,2013,528.0
34,澤村拓一,巨,○,3.13,5,10,0,148,34,1581/3,8.41,2580,654,138,18,43,5,0,58,55,3,1,0,.233,59.09%,47,2.78,1.14,278,66,.237,9,154,113,41,2013,475.0
35,内海哲也,巨,○,3.31,13,6,0,107,25,1601/3,6.01,2646,675,157,11,47,6,1,68,59,1,0,0,.261,64.00%,75,4.09,1.27,310,75,.242,8,145,87,58,2013,481.0
36,笠原将生,巨,,3.33,4,1,0,51,30,46,9.98,841,203,43,8,25,2,1,18,17,0,0,0,.250,0.00%,13,8.36,1.46,27,7,.259,3,152,109,43,2013,138.0
37,杉内俊哉,巨,,3.35,11,6,0,149,24,153,8.76,2535,619,122,19,49,7,1,60,57,2,1,0,.223,54.17%,71,3.97,1.11,311,71,.228,10,145,111,34,2013,459.0
38,ホールトン,巨,,3.73,9,4,0,67,18,1032/3,5.82,1713,426,85,14,32,5,1,45,43,1,0,1,.225,38.89%,70,5.73,1.12,205,41,.200,9,144,107,37,2013,311.0
39,小山雄輝,巨,,3.86,0,2,0,31,10,35,7.97,566,150,34,4,15,1,0,17,15,0,0,0,.262,60.00%,8,2.40,1.40,52,13,.250,3,148,95,53,2013,105.0
40,高木京介,巨,○,4.34,3,0,0,40,46,472/3,7.55,854,209,37,8,27,3,0,27,23,0,0,0,.215,0.00%,0,0.00,1.34,13,1,.077,1,148,97,51,2013,143.0
41,江柄子裕樹,巨,,4.50,1,0,0,2,4,4,4.50,76,19,7,0,0,0,0,2,2,0,0,0,.412,0.00%,0,0.00,1.75,1,1,1.000,0,145,105,40,2013,12.0
42,宮國椋丞,巨,,4.93,6,7,0,50,17,872/3,5.13,1480,401,113,8,35,2,0,52,48,0,0,0,.325,47.06%,41,4.05,1.69,208,66,.317,4,150,88,62,2013,263.0
43,福田聡志,巨,,5.00,1,1,0,14,17,18,7.00,328,89,25,3,10,1,1,12,10,0,0,0,.333,0.00%,0,0.00,1.89,7,2,.286,2,149,112,37,2013,54.0
44,一岡竜司,巨,,5.23,0,0,0,8,9,101/3,6.97,174,44,11,0,3,0,0,6,6,0,0,0,.268,0.00%,0,0.00,1.35,0,0,.000,0,149,103,46,2013,31.0
45,アコスタ,巨,,5.54,1,0,0,12,14,13,8.31,221,57,15,4,4,0,0,8,8,0,0,0,.300,0.00%,0,0.00,1.46,5,1,.200,0,153,116,37,2013,39.0
46,田原誠次,巨,,6.00,0,0,0,8,7,9,8.00,156,39,9,0,4,1,0,6,6,0,0,0,.281,0.00%,0,0.00,1.44,0,0,.000,0,142,102,40,2013,27.0
47,香月良太,巨,,6.16,0,0,0,8,19,19,3.79,291,82,24,3,5,0,0,13,13,0,0,0,.324,0.00%,0,0.00,1.53,6,2,.333,0,142,108,34,2013,57.0
48,菅野智之,巨,,2.33,12,5,0,122,23,1582/3,6.92,2454,640,138,12,36,2,3,50,41,3,0,1,.237,78.26%,69,3.65,1.08,315,73,.232,7,153,102,51,2014,476.0
49,小山雄輝,巨,,2.41,6,2,0,71,16,931/3,6.85,1555,390,85,7,28,3,2,27,25,1,0,0,.246,50.00%,39,3.66,1.19,172,40,.233,3,151,96,55,2014,280.0
50,青木高広,巨,○,2.45,2,2,0,15,38,33,4.09,491,131,30,1,8,2,0,9,9,0,0,0,.259,0.00%,0,0.00,1.15,28,9,.321,0,139,97,42,2014,99.0
51,江柄子裕樹,巨,,2.79,0,2,0,15,19,29,4.66,450,119,28,1,9,1,0,9,9,0,0,0,.262,0.00%,3,3.86,1.28,28,8,.286,1,146,109,37,2014,87.0
52,田原誠次,巨,,2.89,0,1,0,15,20,182/3,7.23,285,71,11,4,3,3,0,7,6,0,0,0,.175,0.00%,0,0.00,0.75,12,2,.167,1,146,101,45,2014,56.0
53,西村健太朗,巨,○,2.98,4,4,6,39,49,511/3,6.84,875,229,59,2,22,1,1,21,17,0,0,0,.294,0.00%,0,0.00,1.56,81,31,.383,0,153,116,37,2014,154.0
54,山口鉄也,巨,,3.04,4,3,2,42,60,561/3,6.71,923,246,61,1,20,6,3,19,19,0,0,0,.290,0.00%,0,0.00,1.38,129,34,.264,1,152,112,40,2014,169.0
55,杉内俊哉,巨,,3.16,10,6,0,145,26,1591/3,8.19,2664,654,144,18,41,5,0,59,56,1,1,0,.245,61.54%,95,5.09,1.16,342,81,.237,9,144,106,38,2014,478.0
56,内海哲也,巨,,3.17,7,9,0,105,22,1442/3,6.53,2336,603,139,11,36,5,1,51,51,2,2,2,.257,68.18%,57,3.40,1.20,314,74,.236,5,146,84,62,2014,434.0
57,マシソン,巨,,3.58,6,6,30,75,64,651/3,10.33,1091,277,59,8,23,1,0,27,26,0,0,0,.237,0.00%,0,0.00,1.26,154,36,.234,5,160,112,48,2014,196.0
58,澤村拓一,巨,,3.72,5,3,0,66,12,722/3,8.17,1150,299,69,3,14,2,0,31,30,2,1,0,.250,54.55%,31,3.87,1.14,126,35,.278,2,153,112,41,2014,218.0
59,大竹寛,巨,,3.98,9,6,0,79,22,129,5.51,2115,546,127,13,34,4,2,60,57,1,0,0,.258,50.00%,64,4.20,1.23,261,64,.245,5,148,92,56,2014,387.0
60,香月良太,巨,,4.21,3,0,2,19,41,361/3,4.71,535,148,37,1,9,1,1,18,17,0,0,0,.278,0.00%,0,0.00,1.24,31,6,.194,1,145,112,33,2014,109.0
61,笠原将生,巨,,4.26,2,0,1,33,26,38,7.82,674,166,43,5,15,2,1,19,18,0,0,0,.305,0.00%,1,3.00,1.50,19,5,.263,0,151,104,47,2014,114.0
62,セドン,巨,,4.67,4,5,0,37,10,52,6.40,881,226,58,5,20,0,0,27,27,0,0,0,.293,40.00%,22,3.96,1.50,103,30,.291,3,141,109,32,2014,156.0
63,久保裕也,巨,,4.73,4,4,0,51,48,59,7.78,995,257,59,8,20,6,2,31,31,0,0,0,.261,0.00%,4,4.00,1.31,65,19,.292,4,145,97,48,2014,177.0
64,高木京介,巨,○,4.76,0,0,0,26,26,281/3,8.26,510,116,24,4,9,1,1,15,15,0,0,0,.238,0.00%,0,0.00,1.13,20,5,.250,1,148,101,47,2014,85.0
65,阿南徹,巨,,5.40,0,0,0,4,4,5,7.20,100,24,7,1,3,0,0,3,3,0,0,0,.350,0.00%,3,13.50,2.00,3,1,.333,1,140,105,35,2014,15.0
66,今村信貴,巨,,6.19,2,1,0,19,13,361/3,4.71,730,172,47,9,14,2,0,29,25,0,0,0,.311,20.00%,14,5.04,1.68,76,17,.224,3,149,85,64,2014,109.0
67,宮國椋丞,巨,,6.43,1,1,0,6,3,14,3.86,213,64,22,3,3,1,0,11,10,0,0,0,.379,33.33%,3,1.59,1.79,19,7,.368,1,146,95,51,2014,42.0
68,土田瑞起,巨,,7.71,1,0,0,8,12,112/3,6.17,214,56,15,3,6,0,1,10,10,0,0,0,.306,0.00%,0,0.00,1.71,0,0,.000,0,150,122,28,2014,35.0
69,福田聡志,巨,,9.64,0,1,0,6,12,14,3.86,274,71,23,2,6,1,0,16,15,0,0,0,.371,0.00%,0,0.00,2.07,9,4,.444,0,146,114,32,2014,42.0
70,須永英輝,巨,,81.00,0,0,0,0,1,01/3,0.00,28,5,3,0,1,0,0,3,3,0,0,0,.750,0.00%,0,0.00,12.00,0,0,.000,0,140,120,20,2014,1.0
71,田原誠次,巨,○,1.00,1,0,0,18,18,18,9.00,322,75,11,1,9,2,0,2,2,0,0,0,.180,0.00%,0,0.00,1.11,13,2,.154,0,147,103,44,2015,54.0
72,澤村拓一,巨,○,1.32,7,3,36,60,60,681/3,7.90,1066,282,58,4,21,3,0,12,10,0,0,0,.234,0.00%,0,0.00,1.16,150,37,.247,1,157,122,35,2015,205.0
73,菅野智之,巨,○,1.91,10,11,0,126,25,179,6.34,2710,710,148,10,41,7,4,46,38,6,2,0,.230,80.00%,65,3.11,1.03,370,85,.230,7,151,108,43,2015,537.0
74,マイコラス,巨,○,1.92,13,3,0,107,21,145,6.64,2105,557,107,8,23,1,0,34,31,4,2,2,.205,85.71%,75,4.41,0.90,397,80,.202,5,154,102,52,2015,435.0
75,高木京介,巨,○,2.20,1,0,0,43,33,41,9.44,694,167,31,4,13,0,0,10,10,0,0,0,.207,0.00%,0,0.00,1.07,5,0,.000,0,146,88,58,2015,123.0
76,マシソン,巨,○,2.62,3,8,2,55,63,581/3,8.49,908,244,47,5,21,2,0,22,17,0,0,0,.221,0.00%,0,0.00,1.17,112,27,.241,3,159,111,48,2015,175.0
77,田口麗斗,巨,,2.71,3,5,0,64,13,661/3,8.68,1098,274,54,5,26,3,1,26,20,0,0,0,.226,33.33%,18,2.35,1.19,176,40,.227,4,146,98,48,2015,199.0
78,山口鉄也,巨,○,2.73,4,5,2,31,60,522/3,5.30,824,216,48,5,15,2,0,18,16,0,0,0,.254,0.00%,0,0.00,1.20,102,28,.275,2,147,111,36,2015,158.0
79,戸根千明,巨,○,2.88,1,1,1,39,46,402/3,8.63,700,168,26,3,18,0,0,13,13,0,0,0,.179,0.00%,0,0.00,1.08,20,3,.150,0,147,100,47,2015,122.0
80,ポレダ,巨,,2.94,8,8,0,101,24,147,6.18,2423,619,133,6,46,8,2,57,48,0,0,0,.243,62.50%,56,3.25,1.20,341,82,.240,6,155,103,52,2015,441.0
81,宮國椋丞,巨,○,2.94,3,1,1,28,39,49,5.14,741,194,38,4,15,0,1,17,16,0,0,0,.217,0.00%,0,0.00,1.06,28,9,.321,2,151,92,59,2015,147.0
82,メンドーサ,巨,,3.00,0,0,0,3,2,3,9.00,61,13,3,0,1,0,1,1,1,0,0,0,.250,0.00%,0,0.00,1.00,3,0,.000,0,150,110,40,2015,9.0
83,高木勇人,巨,,3.19,9,10,0,131,26,1632/3,7.20,2657,678,143,16,47,8,1,66,58,1,1,0,.236,61.54%,64,3.33,1.15,355,84,.237,10,149,86,63,2015,491.0
84,大竹寛,巨,,3.21,3,4,0,35,11,56,5.63,863,227,56,5,11,0,0,21,20,0,0,0,.265,36.36%,20,3.00,1.20,137,37,.270,2,148,100,48,2015,168.0
85,香月良太,巨,,3.77,0,0,0,5,14,141/3,3.14,218,58,14,2,2,0,0,9,6,0,0,0,.255,0.00%,0,0.00,1.12,0,0,.000,0,142,107,35,2015,43.0
86,杉内俊哉,巨,,3.95,6,6,0,93,17,952/3,8.75,1602,401,88,9,35,3,0,42,42,0,0,0,.248,52.94%,36,3.18,1.29,201,49,.244,6,143,105,38,2015,287.0
87,小山雄輝,巨,,4.02,0,1,1,10,7,152/3,5.74,258,68,18,2,7,0,0,7,7,0,0,0,.305,0.00%,4,5.14,1.60,23,7,.304,1,148,102,46,2015,47.0
88,内海哲也,巨,○,5.01,2,1,0,10,5,231/3,3.86,392,104,30,4,6,0,0,15,13,0,0,0,.316,20.00%,16,6.55,1.54,62,18,.290,2,140,103,37,2015,70.0
89,笠原将生,巨,,6.16,0,0,0,18,20,19,8.53,344,90,25,4,11,0,0,13,13,0,0,0,.325,0.00%,0,0.00,1.89,8,2,.250,0,149,112,37,2015,57.0
90,土田瑞起,巨,,6.39,1,0,0,13,11,122/3,9.24,232,57,14,1,6,0,0,9,9,0,0,0,.292,0.00%,0,0.00,1.58,0,0,.000,0,147,123,24,2015,38.0
91,西村健太朗,巨,,9.00,0,0,0,0,1,1,0.00,14,4,1,1,0,0,0,1,1,0,0,0,.250,0.00%,0,0.00,1.00,0,0,.000,0,143,118,25,2015,3.0
92,矢貫俊之,巨,,13.50,0,0,0,2,3,11/3,13.50,25,8,3,0,1,0,0,2,2,0,0,0,.429,0.00%,0,0.00,3.00,0,0,.000,0,148,105,43,2015,4.0
93,乾真大,巨,,0.00,0,0,0,3,2,21/3,11.57,55,12,1,0,2,0,0,2,0,0,0,0,.100,0.00%,0,0.00,1.29,0,0,.000,0,142,122,20,2016,7.0
94,菅野智之,巨,○,2.01,9,6,0,189,26,1831/3,9.28,2863,726,156,12,26,4,0,46,41,5,2,3,.228,84.62%,62,2.88,0.99,436,97,.222,7,156,101,55,2016,550.0
95,マシソン,巨,○,2.36,8,4,1,98,70,80,11.03,1318,325,65,7,22,1,0,27,21,0,0,0,.220,0.00%,0,0.00,1.09,159,32,.201,2,162,122,40,2016,240.0
96,マイコラス,巨,○,2.45,4,2,0,84,14,912/3,8.25,1525,381,84,10,23,4,0,35,25,1,0,0,.245,64.29%,61,5.66,1.17,210,52,.248,8,152,102,50,2016,275.0
97,矢貫俊之,巨,,2.61,0,0,0,11,8,101/3,9.58,168,42,10,0,5,0,0,3,3,0,0,0,.270,0.00%,0,0.00,1.45,0,0,.000,0,151,109,42,2016,31.0
98,澤村拓一,巨,○,2.66,6,4,37,55,63,641/3,7.69,1045,271,60,5,22,1,0,20,19,0,0,0,.253,0.00%,0,0.00,1.27,140,34,.243,2,155,122,33,2016,193.0
99,田口麗斗,巨,○,2.72,10,10,0,126,26,162,7.00,2636,668,150,15,49,6,0,54,49,2,1,0,.248,73.08%,73,3.89,1.23,330,90,.273,8,152,95,57,2016,486.0
100,宮國椋丞,巨,○,2.95,4,1,0,14,34,392/3,3.18,588,162,38,6,9,0,0,14,13,0,0,0,.255,0.00%,0,0.00,1.18,37,8,.216,1,149,93,56,2016,119.0
101,西村健太朗,巨,,3.21,0,0,0,25,27,28,8.04,546,134,30,2,16,5,0,11,10,0,0,0,.273,0.00%,0,0.00,1.64,9,4,.444,0,151,120,31,2016,84.0
102,田原誠次,巨,○,3.46,4,3,0,29,64,542/3,4.77,867,233,56,3,22,3,1,22,21,0,0,0,.279,0.00%,0,0.00,1.41,69,20,.290,0,146,101,45,2016,164.0
103,大竹寛,巨,○,3.55,6,6,0,71,17,911/3,7.00,1614,393,91,6,30,1,1,40,36,0,0,0,.259,43.75%,45,4.26,1.31,181,46,.254,5,148,100,48,2016,274.0
104,公文克彦,巨,,3.86,0,0,0,12,12,112/3,9.26,188,50,10,1,3,2,0,5,5,0,0,0,.222,0.00%,0,0.00,1.11,0,0,.000,0,149,120,29,2016,35.0
105,内海哲也,巨,○,3.94,9,6,0,81,18,1071/3,6.79,1755,442,104,10,22,5,0,47,47,0,0,0,.254,61.11%,59,4.58,1.17,239,54,.226,5,143,104,39,2016,322.0
106,ポレダ,巨,,4.00,1,3,0,19,5,27,6.33,489,121,25,0,19,2,0,15,12,0,0,0,.255,40.00%,9,2.70,1.63,56,18,.321,0,152,113,39,2016,81.0
107,高木勇人,巨,,4.31,5,9,0,91,25,117,7.00,1967,504,121,15,36,7,0,61,56,0,0,0,.271,44.44%,47,3.81,1.34,189,45,.238,7,150,97,53,2016,351.0
108,戸根千明,巨,,4.50,1,0,1,25,42,36,6.25,649,161,37,5,17,3,0,19,18,0,0,0,.268,0.00%,0,0.00,1.50,23,4,.174,1,149,103,46,2016,108.0
109,小山雄輝,巨,,4.85,0,1,0,12,9,13,8.31,217,58,15,1,5,0,1,7,7,0,0,0,.294,0.00%,2,4.50,1.46,20,9,.450,1,148,103,45,2016,39.0
110,山口鉄也,巨,○,4.87,1,6,1,28,63,48,5.25,761,204,48,6,12,2,0,30,26,0,0,0,.261,0.00%,0,0.00,1.25,82,25,.305,2,148,111,37,2016,144.0
111,今村信貴,巨,,5.59,3,4,0,60,16,771/3,6.98,1440,346,87,11,36,2,0,49,48,0,0,0,.285,28.57%,33,3.81,1.59,188,53,.282,6,146,90,56,2016,232.0
112,土田瑞起,巨,,6.48,0,0,1,6,7,81/3,6.48,134,38,12,0,3,0,0,6,6,0,0,0,.353,0.00%,0,0.00,1.80,4,1,.250,0,143,121,22,2016,25.0
113,江柄子裕樹,巨,,7.27,0,1,0,4,2,82/3,4.15,196,47,14,0,7,0,0,8,7,0,0,0,.359,0.00%,3,3.00,2.42,25,10,.400,0,143,104,39,2016,26.0
114,桜井俊貴,巨,,8.31,0,1,0,5,1,41/3,10.38,83,23,9,0,1,1,0,4,4,0,0,0,.429,0.00%,3,5.40,2.31,15,6,.400,0,145,101,44,2016,13.0
115,長谷川潤,巨,,8.53,0,1,0,3,3,61/3,4.26,143,32,11,0,2,0,0,6,6,0,0,0,.393,0.00%,1,2.25,2.05,20,8,.400,0,142,103,39,2016,19.0
116,平良拳太郎,巨,,9.82,0,1,0,4,1,32/3,9.82,71,18,4,1,3,0,0,4,4,0,0,0,.267,0.00%,0,0.00,1.91,12,2,.167,1,142,113,29,2016,11.0
